"Value","Reference","Datasheet","Supplier","URL","Assembly","Supplier no.","Accept alternative part"
"SW_SPST","SW5","https://img.gme.cz/files/eshop_data/eshop_data/8/632-048/dsh.632-048.1.pdf","GME","https://www.gme.cz/v/1500415/ece-edg101s-dip-prepinac-1pol","NO","632-048 ","~"
"SW_Push","SW4","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XUNPU-TS-1088R-02026_C455280.pdf","LCSC","https://www.lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1088R-02026_C455280.html","YES","C455280","YES"
"SW_Push","SW3","https://img.gme.cz/files/eshop_data/eshop_data/4/631-153/dsh.631-153.1.pdf","GME","https://www.gme.cz/v/1502439/connfly-ds1041-21kyas-mikrospinac","NO","631-153","~"
"SW_Push","SW2","https://img.gme.cz/files/eshop_data/eshop_data/4/631-153/dsh.631-153.1.pdf","GME","https://www.gme.cz/v/1502439/connfly-ds1041-21kyas-mikrospinac","NO","631-153","~"
"SW_Push","SW1","https://img.gme.cz/files/eshop_data/eshop_data/4/631-153/dsh.631-153.1.pdf","GME","https://www.gme.cz/v/1502439/connfly-ds1041-21kyas-mikrospinac","NO","631-153","~"
"Vishay 64X 10K","RV1","https://img.gme.cz/files/eshop_data/eshop_data/2/112-350/dsh.112-350.1.pdf","GME","https://www.gme.cz/v/1489810/vishay-64-x-10k-cermetovy-trimr","NO","112-350","~"
"10K","R22","~","PCBWAY","~","YES","~","~"
"4K7","R21","~","PCBWAY","~","YES","~","~"
"1.2K","R20","~","PCBWAY","~","YES","~","~"
"1.2K","R19","~","PCBWAY","~","YES","~","~"
"10K","R18","~","PCBWAY","~","YES","~","~"
"10K","R17","~","PCBWAY","~","YES","~","~"
"330R","R16","~","PCBWAY","~","YES","~","~"
"330R","R15","~","PCBWAY","~","YES","~","~"
"1.2K","R14","~","PCBWAY","~","YES","~","~"
"1.2K","R13","~","PCBWAY","~","YES","~","~"
"10K","R12","~","PCBWAY","~","YES","~","~"
"1000R","R11","~","PCBWAY","~","YES","~","~"
"1000R","R10","~","PCBWAY","~","YES","~","~"
"1000R","R9","~","PCBWAY","~","YES","~","~"
"1000R","R8","~","PCBWAY","~","YES","~","~"
"1000R","R7","~","PCBWAY","~","YES","~","~"
"1000R","R6","~","PCBWAY","~","YES","~","~"
"27R","R5","~","PCBWAY","~","YES","~","~"
"27R","R4","~","PCBWAY","~","YES","~","~"
"330R","R3","~","PCBWAY","~","YES","~","~"
"330R","R2","~","PCBWAY","~","YES","~","~"
"200R","R1","~","PCBWAY","~","YES","~","~"
"PMBT3904,215","Q2","https://www.lcsc.com/datasheet/lcsc_datasheet_2407241045_Nexperia-PMBT3904-215_C8667.pdf","LCSC","https://www.lcsc.com/product-detail/Bipolar-BJT_Nexperia-PMBT3904-215_C8667.html","YES","C8667","YES"
"PMBT3904,215","Q1","https://www.lcsc.com/datasheet/lcsc_datasheet_2407241045_Nexperia-PMBT3904-215_C8667.pdf","LCSC","https://www.lcsc.com/product-detail/Bipolar-BJT_Nexperia-PMBT3904-215_C8667.html","YES","C8667","YES"
"16MHz","OSC1","https://datasheet.lcsc.com/lcsc/2004161134_TST-TZ0233A_C498200.pdf","LCSC","https://www.lcsc.com/product-detail/Crystals_span-style-background-color-ff0-TST-span-TZ0233A_C498200.html","YES","C498200","YES"
"RED","LED3","~","PCBWAY","","YES","~","~"
"GREEN","LED2","~","PCBWAY","","YES","~","~"
"YELLOW","LED1","~","PCBWAY","","YES","~","~"
"L78M05ABDT-TR","IC4","https://www.lcsc.com/datasheet/lcsc_datasheet_2307281528_STMicroelectronics-L78M05ABDT-TR_C58069.pdf","LCSC","https://www.lcsc.com/product-detail/Voltage-Regulators-span-style-background-color-ff0-Linear-span-Low-Drop-Out-LDO-Regulators_STMicroelectronics-L78M05ABDT-TR_C58069.html","YES","C58069","YES"
"74HC3G14DP,125 ","IC3","https://www.lcsc.com/datasheet/lcsc_datasheet_2302211801_Nexperia-74HC3G14DP-125_C5359730.pdf","LCSC","https://www.lcsc.com/product-detail/Inverters_Nexperia-74HC3G14DP-125_C5359730.html","YES","C5359730","YES"
"FT231XS-R ","IC2","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FTDI-FT231XS-R_C132160.pdf","LCSC","https://www.lcsc.com/product-detail/USB-Converters_FTDI-FT231XS-R_C132160.html","YES","C132160","NO"
"ATmega328PB-AU","IC1","https://www.lcsc.com/datasheet/lcsc_datasheet_2210181030_Microchip-Tech-ATMEGA328PB-AU_C132230.pdf","LCSC","https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_Microchip-Tech-ATMEGA328PB-AU_C132230.html","YES","C132230","NO"
"Conn_01x16_Pin","HDR1","https://img.gme.cz/files/eshop_data/eshop_data/5/832-017/dsh.832-017.1.pdf","GME","https://www.gme.cz/v/1498177/kls-s1g20c-kolikova-lista","NO","832-017","~"
"BZX384-B5V1,115","D2","https://www.lcsc.com/datasheet/lcsc_datasheet_2407241029_Nexperia-BZX384-B5V1-115_C426823.pdf","LCSC","https://www.lcsc.com/product-detail/Zener-Diodes_Nexperia-BZX384-B5V1-115_C426823.html","YES","C426823","YES"
"BZX384-B5V1,115","D1","https://www.lcsc.com/datasheet/lcsc_datasheet_2407241029_Nexperia-BZX384-B5V1-115_C426823.pdf","LCSC","https://www.lcsc.com/product-detail/Zener-Diodes_Nexperia-BZX384-B5V1-115_C426823.html","YES","C426823","YES"
"AVR-ISP-6","CON6"," https://img.gme.cz/files/eshop_data/eshop_data/9/800-257/dsh.800-257.1.pdf","GME","https://www.gme.cz/v/1496662/connfly-mlw06g-konektor-vidlice-roztec-254mm-2x3pin-do-dps","NO","800-257","~"
"Conn_01x04_Pin","CON5","https://img.gme.cz/files/eshop_data/eshop_data/5/800-170/dsh.800-170.1.pdf","GME","https://www.gme.cz/v/1497969/kls-psh02-04pg-konektor-vidlice-roztec-254mm-1x4piny-prima-do-dps","NO","800-170","~"
"Conn_01x02_Pin","CON4","https://img.gme.cz/files/eshop_data/eshop_data/5/800-163/dsh.800-163.1.pdf","GME","https://www.gme.cz/v/1497299/kls-psh02-02pg-konektor-vidlice-roztec-254mm-1x2piny-prima-do-dps","NO","800-163","~"
"Conn_01x04_Pin","CON3","https://img.gme.cz/files/eshop_data/eshop_data/5/800-170/dsh.800-170.1.pdf","GME","https://www.gme.cz/v/1497969/kls-psh02-04pg-konektor-vidlice-roztec-254mm-1x4piny-prima-do-dps","NO","800-170","~"
"Conn_02x08_Odd_Even","CON2","https://img.gme.cz/files/eshop_data/eshop_data/5/800-006/dsh.800-006.1.pdf","GME","https://www.gme.cz/v/1501724/kls-mlw16g-konektor-vidlice-roztec-254mm-prima-2x8pinu-do-dps","NO","800-006","~"
"Conn_01x02_Pin","CON1","https://img.gme.cz/files/eshop_data/eshop_data/5/800-163/dsh.800-163.1.pdf","GME","https://www.gme.cz/v/1497299/kls-psh02-02pg-konektor-vidlice-roztec-254mm-1x2piny-prima-do-dps","NO","800-163","~"
"100nF, 16V","C18","~","PCBWAY","~","YES","~","~"
"100nF, 16V","C17","~","PCBWAY","~","YES","~","~"
"100nF, 16V","C16","~","PCBWAY","~","YES","~","~"
"1n, 25V","C15","~","PCBWAY","~","YES","~","~"
"1n, 25V","C14","~","PCBWAY","~","YES","~","~"
"330nF, 25V","C11","~","PCBWAY","~","YES","~","~"
"100n, 16V","C10","~","PCBWAY","~","YES","~","~"
"100n, 16V","C9","~","PCBWAY","~","YES","~","~"
"100n, 16V","C8","~","PCBWAY","~","YES","~","~"
"47pF, 16V","C7","~","PCBWAY","~","YES","~","~"
"47pF, 16V","C6","~","PCBWAY","~","YES","~","~"
"100nF, 16V","C5","~","PCBWAY","~","YES","~","~"
"22pF, 16V","C4","~","PCBWAY","~","YES","~","~"
"22pF, 16V","C3","~","PCBWAY","~","YES","~","~"
"100nF, 16V","C2","~","PCBWAY","~","YES","~","~"
"100nF, 16V","C1","~","PCBWAY","~","YES","~","~"
